con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:111,1,237.729,8.69339,6.52714,144.08,18:01:11,52.9985,43.6983,2.61369,0.023498,143.976,0.331207,237.58,NA,NA,6.52714
18:01:121,1,238.198,8.69339,6.52714,144.185,18:01:12,52.756,43.6819,2.88458,-1.81987,144.105,0.406684,237.886,0.105,0.129,6.52714
18:01:151,1,239.582,8.69339,6.52714,144.458,18:01:15,52.7914,45.1138,-3.10813,0,144.45,0,239.582,0.273,0.345,6.52714
18:01:161,1,239.582,8.69339,6.52714,144.49,18:01:16,52.7914,45.1138,-3.10995,0,144.49,0,239.582,0.032,0.04,6.52714
18:01:201,1,245.366,8.69339,6.52714,149.269,18:01:20,56.1013,42.8508,3.06199,2.00776,149.269,4.42233,245.366,4.779,4.779,6.52714
18:01:211,1,251.954,8.69339,6.52714,163.389,18:01:21,60.4394,40.1223,-2.45722,2.3089,157.608,5.0891,250.516,14.12,8.339,6.52714
18:01:221,1,255.628,8.69339,6.52714,173.799,18:01:22,63.4573,37.1003,3.11331,2.45084,171.712,3.5963,254.788,10.41,14.104,6.52714
18:01:261,1,270.151,8.69339,6.52714,192.616,18:01:26,55.1723,30.2431,-1.88597,-1.26614,190.266,3.32656,267.734,18.817,18.554,6.52714
18:01:281,1,275.388,8.69339,6.52714,199.657,18:01:28,50.6628,34.0038,-1.49736,0.257423,198.283,2.11151,273.944,7.041,8.017,6.52714
18:01:301,1,280.445,8.69339,6.52714,204.59,18:01:30,54.9008,38.4115,-3.00785,1.3588,204.491,3.27788,280.281,4.933,6.208,6.52714
18:01:311,1,285.876,8.69339,6.52714,211.668,18:01:31,58.2252,38.1255,-2.63088,1.79946,208.579,3.17734,283.645,7.078,4.088,6.52714
18:01:321,1,286.593,8.69339,6.52714,213.118,18:01:32,60.8187,37.1255,-2.57589,2.17439,212.805,2.92943,286.445,1.45,4.226,6.52714
18:01:331,1,289.221,8.69339,6.52714,217.284,18:01:33,62.685,35.0984,-2.96137,2.59348,217.284,2.20003,289.221,4.166,4.479,6.52714
18:01:341,1,295.37,8.69339,6.52714,223.612,18:01:34,64.2769,32.7965,-2.29942,2.47753,221.23,4.089,292.022,6.328,3.946,6.52714
18:01:361,1,299.288,8.69339,6.52714,227.447,18:01:36,68.8822,28.6565,-2.11628,2.13077,226,2.84081,298.297,3.835,4.77,6.52714
18:01:371,1,301.925,8.69339,6.52714,232.512,18:01:37,71.4955,28.1777,-1.93579,1.48036,230.284,2.60188,301.023,5.065,4.284,6.52714
18:01:381,1,304.661,8.69339,6.52714,237.138,18:01:38,74.0503,27.4642,-2.42456,2.30024,235.469,3.27302,303.767,4.626,5.185,6.52714
18:01:401,1,312.602,8.69339,6.52714,245.69,18:01:40,74.4427,20.5086,-2.66579,-2.38832,243.999,3.27693,311.468,8.552,8.53,6.52714
18:01:411,1,314.621,8.69339,6.52714,247.918,18:01:41,72.3242,18.4839,-2.09835,-2.46915,247.537,2.28257,314.401,2.228,3.538,6.52714
18:01:451,1,332.448,13.6929,6.52714,268.041,18:01:45,80.7975,24.7941,1.10279,0.313179,265.348,5.55605,329.968,20.123,17.811,6.52714
18:01:481,1,348.396,24.5343,6.52714,284.353,18:01:48,80.9135,41.8637,0.225378,-0.343765,283.247,5.58316,347.303,16.312,17.899,6.52714
18:01:491,1,354.268,24.5343,6.52714,293.023,18:01:49,77.5234,45.9477,-0.0242903,-0.892369,291.01,5.3136,352.687,8.67,7.763,6.52714
18:01:571,1,366.343,31.3359,6.52714,336.279,18:01:57,59.5583,51.9568,1.19306,2.50708,334.516,1.20235,366.165,43.256,43.506,6.52714
18:01:581,1,371.034,31.3359,6.52714,347.51,18:01:58,60.1031,49.3899,1.2548,-3.12403,343.85,4.47396,368.827,11.231,9.334,6.52714
18:01:591,1,373.626,31.3359,6.52714,350.122,18:01:59,58.8799,44.7928,1.98468,-2.65626,350.122,4.33258,373.626,2.612,6.272,6.52714
18:02:011,1,382.891,31.3359,6.52714,363.539,18:02:01,54.7473,36.7849,2.96601,-2.55162,363.399,4.7268,382.655,13.417,13.277,6.52714
18:02:021,1,386.769,31.3359,6.52714,367.515,18:02:02,52.8682,33.1543,-3.05796,-2.86625,367.515,3.43204,386.769,3.976,4.116,6.52714
18:02:031,1,392.854,31.3359,6.52714,374.386,18:02:03,50.5114,29.9367,-2.8533,-2.20744,371.729,4.69341,390.854,6.871,4.214,6.52714
18:02:051,1,399.417,31.3359,6.52714,383.676,18:02:05,48.6239,25.852,-2.4031,2.17495,380.065,2.94985,396.673,9.29,8.336,6.52714
18:02:061,1,405.357,33.8057,6.52714,387.578,18:02:06,51.5355,23.782,-2.79097,2.36527,383.896,4.44744,400.27,3.902,3.831,6.52714
18:02:071,1,409.488,36.2926,6.52714,393.133,18:02:07,55.7031,20.3875,-2.85141,2.17743,387.655,6.01996,405.658,5.555,3.759,6.52714
18:02:091,1,414.514,36.2926,6.52714,406.885,18:02:09,59.5276,14.1026,-1.61606,-2.81788,403.07,1.3326,413.508,13.752,15.415,6.52714
18:02:101,1,416.271,36.2926,6.52714,410.38,18:02:10,58.2713,13.9649,-1.00503,-1.29458,408.434,2.08527,414.911,3.495,5.364,6.52714
18:02:111,1,417.765,36.2926,6.52714,412.346,18:02:11,56.3681,14.4559,-0.8183,-1.4194,411.143,1.64633,416.88,1.966,2.709,6.52714
18:02:121,1,419.219,36.2926,6.52714,413.003,18:02:12,54.2304,14.9094,-0.628294,-1.34457,412.95,3.03306,419.065,0.657,1.807,6.52714
