,Media,StdError,t value,probabilidad,min,max
POSICIONdel,0.782473836,0.4503335,1.737543034,0.085712078,-0.112192263,1.677139935
POSICIONmed,-0.224017674,0.423342134,-0.529164606,0.597994028,-1.065060713,0.617025366
ESTATURA,6.48159758,3.225722736,2.009347396,0.04749588,0.073136345,12.89005881
JJUGADOS,0.058454365,0.077935949,0.750030832,0.455192385,-0.096379001,0.213287731
EDAD,0.070599306,0.043509378,1.622622744,0.10816801,-0.015839667,0.157038279
PESO,-0.026530955,0.031630475,-0.838778275,0.403816059,-0.089370414,0.036308504
TOQUESB,0.02776666,0.007317538,3.794536068,0.000267762,0.013229095,0.042304226
PASESCOMP,-0.032121206,0.006902,-4.653898058,1.12E-05,-0.045833234,-0.018409178
PASESINC,-0.034267522,0.009191602,-3.72813393,0.00033674,-0.052528244,-0.016006801
ASISTENCIAS,-0.062064874,0.180210819,-0.344401489,0.731347813,-0.420085121,0.295955372
DISTTOTALkm,0.010455736,0.012070948,0.86619013,0.388689201,-0.013525309,0.034436781
FALTAS,-0.028475642,0.02871335,-0.991721326,0.323992321,-0.085519723,0.02856844
