estado,universidad,costoSem
Aguascalientes,Instituto Tecnológico y de Estudios Superiores de Monterrey,117558
Aguascalientes,Universidad Cuauhtémoc (Campus Aguascalientes),8000
Aguascalientes,Universidad del Valle de México (Campus Aguascalientes),34200
Aguascalientes,"Universidad Galilea, A.C.",7200
Aguascalientes,Universidad Interamericana para el Desarrollo (Campus Aguascalientes),17550
Aguascalientes,Universidad La Concordia (Campus Centro),18120
Aguascalientes,Universidad Villasunción,10800
Baja California Norte,"Instituto Educativo del Noroeste, CETYS Universidad Campus Ensenada, Mexicali y Tijuana)",52926
Baja California Norte,Universidad Xochicalco,18450
Baja California Norte,Universidad Autónoma de Durango,15000
Baja California Norte,"Escuela Superior de Comercio Exterior, A.C. (Campus Mexicali,Tijuana)",14700
Baja California Norte,"Centro Educativo del Noroeste (CETYS Universidad) (Campus Ensenada, Mexicali, Tijuana)",33726
Baja California Norte,"Universidad de Estudios Avanzados (UNEA) (Campus Cuauhtemoc, Oriente)",12690
Baja California Norte,Universidad Vizcaya de las Américas (Campus Mexicali y Ensenada),13200
Baja California Norte,"Universidad de Tijuana (Campus Mexicali, San Quintín, Tijuana)",20400
Baja California Norte,Universidad del Valle de México (Campus Mexicali),39030
Baja California Norte,Universidad Iberoamericana Tijuana,55500
Baja California Norte,Universidad Interamericana del Desarrollo (Campus Tijuana),15630
Baja California Sur,"UNIDEP (Campus La Paz, Los Cabos)",15300
Baja California Sur,"Universidad del Golfo de California (Plantel Centro y Rectoria, Hojazen)",17400
Baja California Sur,Universidad Interamericana para el Desarrollo (Campus Ensenada),15630
Baja California Sur,Universidad Internacional de La Paz,13200
Campeche,Universidad del Valle de Grijalva,12120
Campeche,Centro de Estudios Superiores del Sureste (Plantel Campeche),12600
Campeche,"Universidad Interamericana para el Desarrollo para el Desarrollo (Campus Campeche, Ciudad del Carmen)",15930
Chiapas,"Centro de Estudios Profesionales de Chiapas, Fray Bartolomé de las Casas",10800
Chiapas,Centro de Estudios Superiores Benemérito de Las Américas,5400
Chiapas,Centro de Estudios Superiores de Tapachula (CEST),17448
Chiapas,Escuela Bancaria y Comercial (Campus Chiapas),31620
Chiapas,"Instituto de Estudios Superiores de Chiapas (Campus Centro, Tuxtla)",6300
