Defensa,Delantero,Medio
1.68,1.78,1.71
1.72,1.72,1.85
1.67,1.7,1.7
1.77,1.87,1.65
1.8,1.81,1.67
1.88,1.74,1.7
1.87,1.72,1.71
1.7,1.85,1.76
1.8,1.7,1.7
1.69,1.81,1.7
1.86,1.83,1.77
1.83,1.73,1.69
1.85,1.8,1.68
1.75,1.87,1.86
1.66,1.82,1.68
1.83,1.82,1.74
1.83,1.77,1.73
1.85,1.77,1.87
1.75,1.65,1.72
1.83,1.78,1.78
1.77,1.75,1.8
1.68,1.67,1.79
1.69,1.72,1.71
1.8,1.79,1.68
1.84,1.7,1.66
1.8,1.75,1.69
1.81,1.82,1.69
1.69,1.84,1.75
1.81,1.77,1.67
1.88,1.88,1.74
1.74,1.7743333333,1.75
1.81,1.7743333333,1.69
1.79,1.7743333333,1.82
1.7796969697,1.7743333333,1.67
1.7796969697,1.7743333333,1.7
1.7796969697,1.7743333333,1.74
1.7796969697,1.7743333333,1.76
1.7796969697,1.7743333333,1.82
1.7796969697,1.7743333333,1.7
1.7796969697,1.7743333333,1.81
