Club,Vs,GolFavor,GolContra,PosesionCl,TirosCl,TirosAGolCl,FaltasCl,CornersCl,ParadasCl,FueraJuegoCl,TAmarillaCl,TRojaCl,PosesionCont,TirosCont,TirosAGolCont,FaltasCont,CornersCont,ParadasCont,FueraJuegoCont,TAmarillaCont,TRojaCont,Tipo,Fecha,Lugar,AsistenciaEstadio,Resultado,AsistenciaEstadioPje,key,Ataque,Defensa
Queretaro,Atlas,1,3,52,15,3,16,3,3,3,2,0,48,10,6,16,3,2,1,2,0,Local,8 de ene. 07:30 p. m.,La Corregidora,30753,0,86,Queretaro Local,1.385207354,0.971839273
Atlas,Queretaro,3,1,48,10,6,16,3,2,1,2,0,52,15,3,16,3,3,3,2,0,Visitante,8 de ene. 07:30 p. m.,La Corregidora,30753,1,86,Atlas Visitante,1.246633321,0.731840038
Tijuana,Pachuca,1,1,52,15,6,16,4,3,2,2,0,48,9,4,15,9,4,2,2,1,Local,8 de ene. 09:30 p. m.,Estadio Caliente,26733,0,91,Tijuana Local,1.206284737,1.397953415
Pachuca,Tijuana,1,1,48,9,4,15,9,4,2,2,1,52,15,6,16,4,3,2,2,0,Visitante,8 de ene. 09:30 p. m.,Estadio Caliente,26733,0,91,Pachuca Visitante,0.646402462,1.490785263
America,Puebla,0,0,48,13,3,10,6,6,1,0,0,52,17,6,12,6,3,3,2,0,Local,9 de ene. 05:00 p. m.,Azteca Stadium,37726,0,37,America Local,1.385207354,1.121353007
Puebla,America,0,0,52,17,6,12,6,3,3,2,0,48,13,3,10,6,6,1,0,0,Visitante,9 de ene. 05:00 p. m.,Azteca Stadium,37726,0,37,Puebla Visitante,1.163524432,0.609866699
Monterrey,Pumas,1,0,53,20,6,17,5,1,1,2,0,47,7,1,8,7,5,3,2,0,Local,9 de ene. 07:00 p. m.,Estadio BBVA Bancomer,49170,1,92,Monterrey Local,1.058144506,1.461912068
Pumas,Monterrey,0,1,47,7,1,8,7,5,3,2,0,53,20,6,17,5,1,1,2,0,Visitante,9 de ene. 07:00 p. m.,Estadio BBVA Bancomer,49170,0,92,Pumas Visitante,1.200461716,0.542103732
Leon,Santos Laguna,2,0,54,15,8,16,6,5,0,4,0,46,11,5,12,5,6,0,2,1,Local,9 de ene. 08:06 p. m.,Estadio Leon,17943,1,58,Leon Local,0.79360838,0.822325538
Santos Laguna,Leon,0,2,46,11,5,12,5,6,0,2,1,54,15,8,16,6,5,0,4,0,Visitante,9 de ene. 08:06 p. m.,Estadio Leon,17943,0,58,Santos Laguna Visitante,0.997306656,0.670853368
Morelia,Cruz Azul,2,2,61,21,5,12,9,2,1,0,0,39,10,4,10,3,3,4,1,0,Local,9 de ene. 08:30 p. m.,Estadio Morelos,27744,0,67,Morelia Local,0.872969218,1.027906923
Cruz Azul,Morelia,2,2,39,10,4,10,3,3,4,1,0,61,21,5,12,9,2,1,0,0,Visitante,9 de ene. 08:30 p. m.,Estadio Morelos,27744,0,67,Cruz Azul Visitante,1.200461716,1.016444498
Chiapas,Dorados,1,0,60,19,0,13,2,0,0,3,0,40,8,0,25,3,0,0,4,0,Local,9 de ene. 09:00 p. m.,Estadio Victor Manuel Reyna,13556,1,45,Chiapas Local,0.39680419,1.130697615
Dorados,Chiapas,0,1,40,8,0,25,3,0,0,4,0,60,19,0,13,2,0,0,3,0,Visitante,9 de ene. 09:00 p. m.,Estadio Victor Manuel Reyna,13556,0,45,Dorados Visitante,0.83108888,1.084207464
Toluca,Tigres,1,0,43,13,4,14,7,2,1,1,0,57,7,2,12,1,3,1,1,0,Local,10 de ene. 12:00 p. m.,Estadio Nemesio Diez Riega,15109,1,56,Toluca Local,1.015818726,0.822325538
Tigres,Toluca,0,1,57,7,2,12,1,3,1,1,0,43,13,4,14,7,2,1,1,0,Visitante,10 de ene. 12:00 p. m.,Estadio Nemesio Diez Riega,15109,0,56,Tigres Visitante,2.039945434,0.665309126
Guadalajara,Veracruz,2,2,76,18,7,13,9,3,0,2,0,24,9,5,13,3,6,0,0,1,Local,10 de ene. 05:00 p. m.,Estadio Chivas,39612,0,79,Guadalajara Local,0.555525866,1.747441769
Veracruz,Guadalajara,2,2,24,9,5,13,3,6,0,0,1,76,18,7,13,9,3,0,2,0,Visitante,10 de ene. 05:00 p. m.,Estadio Chivas,39612,0,79,Veracruz Visitante,1.015775298,1.287496364
Veracruz,Leon,1,3,53,12,3,14,0,2,0,2,1,47,11,5,16,0,2,0,2,0,Local,15 de ene. 07:30 p. m.,Estadio Luis Pirata Fuente,24590,0,82,Veracruz Local,0.775972638,1.736020581
Leon,Veracruz,3,1,47,11,5,16,0,2,0,2,0,53,12,3,14,0,2,0,2,1,Visitante,15 de ene. 07:30 p. m.,Estadio Luis Pirata Fuente,24590,1,82,Leon Visitante,1.0388611,0.609866699
Santos Laguna,Chiapas,1,0,41,13,0,8,0,0,2,3,0,59,2,0,18,0,0,2,4,0,Local,15 de ene. 09:30 p. m.,Estadio Corona,21282,1,71,Santos Laguna Local,0.761864044,0.904558092
Chiapas,Santos Laguna,0,1,59,2,0,18,0,0,2,4,0,41,13,0,8,0,0,2,3,0,Visitante,15 de ene. 09:30 p. m.,Estadio Corona,21282,0,71,Chiapas Visitante,0.51943055,0.838566711
Cruz Azul,Guadalajara,1,1,42,16,6,17,8,4,2,2,0,58,11,5,12,3,5,1,0,0,Local,16 de ene. 05:00 p. m.,Estadio Azul,27025,0,74,Cruz Azul Local,0.917058572,1.370542564
Guadalajara,Cruz Azul,1,1,58,11,5,12,3,5,1,0,0,42,16,6,17,8,4,2,2,0,Visitante,16 de ene. 05:00 p. m.,Estadio Azul,27025,0,74,Guadalajara Visitante,0.72720277,1.295966735
Tigres,Morelia,2,0,65,16,6,17,11,1,0,3,0,35,6,1,12,2,4,0,2,0,Local,16 de ene. 07:00 p. m.,Estadio Universitario,41250,1,98,Tigres Local,1.558358273,0.897082406
Morelia,Tigres,0,2,35,6,1,12,2,4,0,2,0,65,16,6,17,11,1,0,3,0,Visitante,16 de ene. 07:00 p. m.,Estadio Universitario,41250,0,98,Morelia Visitante,1.14274721,0.762333373
Pachuca,Queretaro,1,0,51,14,5,14,9,3,0,0,0,49,9,3,18,3,5,0,1,0,Local,16 de ene. 08:06 p. m.,Estadio Hidalgo,24931,1,83,Pachuca Local,0.49380077,2.010129094
Queretaro,Pachuca,0,1,49,9,3,18,3,5,0,1,0,51,14,5,14,9,3,0,0,0,Visitante,16 de ene. 08:06 p. m.,Estadio Hidalgo,24931,0,83,Queretaro Visitante,1.81328483,0.720751553
Atlas,America,0,3,52,8,0,15,4,0,2,1,0,48,8,0,15,6,0,2,1,1,Local,16 de ene. 08:30 p. m.,Estadio Jalisco,51032,0,91,Atlas Local,0.952330056,0.986790646
America,Atlas,3,0,48,8,0,15,6,0,2,1,1,52,8,0,15,4,0,2,1,0,Visitante,16 de ene. 08:30 p. m.,Estadio Jalisco,51032,1,91,America Visitante,1.81328483,0.831636407
Dorados,Tijuana,0,1,62,9,1,26,8,3,0,3,0,38,9,5,15,3,1,0,1,0,Local,16 de ene. 09:00 p. m.,Estadio Banorte,17333,0,75,Dorados Local,0.634886704,1.461912068
Tijuana,Dorados,1,0,38,9,5,15,3,1,0,1,0,62,9,1,26,8,3,0,3,0,Visitante,16 de ene. 09:00 p. m.,Estadio Banorte,17333,1,75,Tijuana Visitante,1.579068873,1.036773388
Pumas,Toluca,3,2,52,14,7,12,6,4,1,1,0,48,23,7,23,6,4,1,4,0,Local,17 de ene. 12:00 p. m.,Estadio Olimpico Universitario,21890,1,32,Pumas Local,0.917058572,0.730956034
Toluca,Pumas,2,3,48,23,7,23,6,4,1,4,0,52,14,7,12,6,4,1,1,0,Visitante,17 de ene. 12:00 p. m.,Estadio Olimpico Universitario,21890,0,32,Toluca Visitante,1.329742209,0.609866699
Puebla,Monterrey,1,3,65,8,2,7,3,5,3,3,0,35,16,8,17,7,1,4,0,0,Local,17 de ene. 05:00 p. m.,Estadio Cuauhtemoc,32125,0,62,Puebla Local,0.888841385,0.822325538
Monterrey,Puebla,3,1,35,16,8,17,7,1,4,0,0,65,8,2,7,3,5,3,3,0,Visitante,17 de ene. 05:00 p. m.,Estadio Cuauhtemoc,32125,1,62,Monterrey Visitante,1.385148134,1.084207464
Queretaro,Dorados,3,0,34,9,4,23,3,3,0,3,0,66,14,3,15,3,1,0,1,0,Local,22 de ene. 07:30 p. m.,La Corregidora,19418,1,55,Queretaro Local,1.385207354,0.971839273
Dorados,Queretaro,0,3,66,14,3,15,3,1,0,1,0,34,9,4,23,3,3,0,3,0,Visitante,22 de ene. 07:30 p. m.,La Corregidora,19418,0,55,Dorados Visitante,0.83108888,1.084207464
Tijuana,Santos Laguna,1,3,61,14,4,14,6,4,0,3,0,39,14,7,11,2,3,0,3,0,Local,22 de ene. 09:30 p. m.,Estadio Caliente,27333,0,93,Tijuana Local,1.206284737,1.397953415
Santos Laguna,Tijuana,3,1,39,14,7,11,2,3,0,3,0,61,14,4,14,6,4,0,3,0,Visitante,22 de ene. 09:30 p. m.,Estadio Caliente,27333,1,93,Santos Laguna Visitante,0.997306656,0.670853368
America,Pachuca,1,4,60,20,5,14,6,3,2,3,0,40,9,6,26,3,3,3,6,0,Local,23 de ene. 05:00 p. m.,Azteca Stadium,34885,0,34,America Local,1.385207354,1.121353007
Pachuca,America,4,1,40,9,6,26,3,3,3,6,0,60,20,5,14,6,3,2,3,0,Visitante,23 de ene. 05:00 p. m.,Azteca Stadium,34885,1,34,Pachuca Visitante,0.646402462,1.490785263
Monterrey,Atlas,1,0,56,17,3,17,9,4,2,2,0,44,14,4,19,4,2,2,5,0,Local,23 de ene. 07:00 p. m.,Estadio BBVA Bancomer,50053,1,94,Monterrey Local,1.058144506,1.461912068
Atlas,Monterrey,0,1,44,14,4,19,4,2,2,5,0,56,17,3,17,9,4,2,2,0,Visitante,23 de ene. 07:00 p. m.,Estadio BBVA Bancomer,50053,0,94,Atlas Visitante,1.246633321,0.731840038
