Club,Vs,GolFavor,GolContra,PosesionCl,TirosCl,TirosAGolCl,FaltasCl,CornersCl,ParadasCl,FueraJuegoCl,TAmarillaCl,TRojaCl,PosesionCont,TirosCont,TirosAGolCont,FaltasCont,CornersCont,ParadasCont,FueraJuegoCont,TAmarillaCont,TRojaCont,Tipo,Fecha,Lugar,AsistenciaEstadio,Resultado,AsistenciaEstadioPje,AtaqueCL,DefensaCL,AtaqueVS,DefensaVS,GanaCL,EmpataCL,PierdeCL
Toluca,Tigres,1,0,43,13,4,14,7,2,1,1,0,57,7,2,12,1,3,1,1,0,Local,10 de ene. 12:00 p. m.,Estadio Nemesio Diez Riega,15109,1,56,1.385207354,1.121353007,1.329742209,0.609866699,0.50967,0.21533,0.27493
Pumas,Toluca,3,2,52,14,7,12,6,4,1,1,0,48,23,7,23,6,4,1,4,0,Local,17 de ene. 12:00 p. m.,Estadio Olimpico Universitario,21890,1,32,0.39680419,1.130697615,1.329742209,0.609866699,0.08206,0.25875,0.65918
Morelia,Toluca,1,1,60,15,3,9,7,3,3,1,0,40,13,4,23,7,3,5,4,0,Local,23 de ene. 08:30 p. m.,Estadio Morelos,23248,0,56,0.555525866,1.747441769,1.329742209,0.609866699,0.56836,0.17568,0.2559
Toluca,Puebla,1,1,45,13,6,18,2,4,2,1,0,55,11,5,15,7,4,4,3,0,Local,31 de ene. 12:00 p. m.,Estadio Nemesio Diez Riega,14221,0,53,0.79360838,0.822325538,1.329742209,0.609866699,0.34525,0.296,0.35871
Guadalajara,Toluca,1,1,60,20,6,14,10,3,0,1,0,40,15,4,12,7,6,0,2,1,Local,6 de feb. 09:00 p. m.,Estadio Chivas,37610,0,75,1.058144506,1.461912068,1.329742209,0.609866699,0.4203,0.2183,0.36136
Toluca,Atlas,1,1,60,12,2,9,1,5,0,3,0,40,14,6,12,7,1,0,5,0,Local,12 de feb. 08:30 p. m.,Estadio Nemesio Diez Riega,15700,0,58,0.872969218,1.027906923,1.329742209,0.609866699,0.31508,0.27211,0.41277
Leon,Toluca,5,1,52,18,7,11,2,1,1,3,0,48,10,2,17,4,2,3,4,1,Local,20 de feb. 08:06 p. m.,Estadio Leon,21458,1,69,0.917058572,0.730956034,1.329742209,0.609866699,0.33999,0.32033,0.33968
Toluca,Pachuca,0,1,61,26,4,17,12,2,0,2,0,39,14,3,20,3,3,0,2,0,Local,27 de feb. 09:00 p. m.,Estadio Nemesio Diez Riega,12127,0,45,1.385207354,0.971839273,1.329742209,0.609866699,0.56957,0.20827,0.22216
Chiapas,Toluca,3,2,53,13,5,12,3,1,3,1,1,47,9,2,13,1,2,5,1,0,Local,5 de mar. 09:00 p. m.,Estadio Victor Manuel Reyna,21632,1,72,1.206284737,1.397953415,1.329742209,0.609866699,0.34664,0.22536,0.42798
Toluca,Dorados,3,0,51,23,7,11,4,2,1,3,0,49,15,2,13,5,4,2,3,1,Local,13 de mar. 12:00 p. m.,Estadio Nemesio Diez Riega,12180,1,45,1.015818726,0.822325538,2.039945434,0.665309126,0.23017,0.22381,0.54602
Tijuana,Toluca,0,0,56,23,3,15,6,5,2,1,0,44,14,6,14,5,3,1,2,0,Local,18 de mar. 09:30 p. m.,Estadio Caliente,27333,0,93,1.015818726,0.822325538,1.163524432,0.609866699,0.31593,0.28331,0.40075
Toluca,Santos,0,0,59,17,3,10,6,5,4,0,0,41,20,5,18,1,3,2,4,0,Local,1 de abr. 08:30 p. m.,Estadio Nemesio Diez Riega,13520,0,50,1.015818726,0.822325538,1.246633321,0.731840038,0.35007,0.26258,0.38737
Queretaro,Toluca,0,0,51,16,4,17,3,5,2,2,0,49,12,5,17,6,4,3,3,0,Local,8 de abr. 07:30 p. m.,La Corregidora,19775,0,56,1.015818726,0.822325538,0.646402462,1.490785263,0.5151,0.12954,0.35527
Toluca,Veracruz,4,2,54,26,8,12,3,5,4,1,0,46,13,7,7,5,4,1,2,0,Local,16 de abr. 12:45 p. m.,Estadio Nemesio Diez Riega,13479,1,50,1.015818726,0.822325538,0.83108888,1.084207464,0.65308,0.21376,0.13313
America,Toluca,0,1,63,17,6,20,10,5,0,2,0,37,11,5,12,3,6,0,3,0,Local,23 de abr. 05:00 p. m.,Azteca Stadium,30325,0,29,1.015818726,0.822325538,0.997306656,0.670853368,0.38569,0.29025,0.32399
Toluca,Cruz Azul,0,2,48,14,3,15,6,6,0,2,0,52,21,8,6,10,3,0,3,0,Local,1 de may. 12:00 p. m.,Estadio Nemesio Diez Riega,14480,0,54,1.015818726,0.822325538,1.015775298,1.287496364,0.65382,0.19052,0.15566
Monterrey,Toluca,1,2,50,20,6,8,7,3,0,1,0,50,12,5,16,8,5,0,1,0,Local,7 de may. 07:00 p. m.,Estadio BBVA Bancomer,48856,0,91,1.015818726,0.822325538,1.200461716,1.016444498,0.4973,0.23406,0.26863
