Equipo ,Contrincante,GE,GC0,GC1,GC2,GC3,GC4,GC5,GC6,GC7,GC8,GC9,GC10
Toluca,America,,0,1,2,3,4,5,6,7,8,9,10
Toluca,America,0,0.03141,0.06339,0.06397,0.04304,0.02172,0.00877,0.00295,0.00085,0.00021,0.00005,0.00001
Toluca,America,1,0.0453,0.09143,0.09227,0.06208,0.03133,0.01265,0.00425,0.00123,0.00031,0.00007,0.00001
Toluca,America,2,0.03267,0.06594,0.06654,0.04477,0.02259,0.00912,0.00307,0.00088,0.00022,0.00005,0.00001
Toluca,America,3,0.01571,0.0317,0.03199,0.02153,0.01086,0.00438,0.00148,0.00043,0.00011,0.00002,0
Toluca,America,4,0.00566,0.01143,0.01154,0.00776,0.00392,0.00158,0.00053,0.00015,0.00004,0.00001,0
Toluca,America,5,0.00163,0.0033,0.00333,0.00224,0.00113,0.00046,0.00015,0.00004,0.00001,0,0
Toluca,America,6,0.00039,0.00079,0.0008,0.00054,0.00027,0.00011,0.00004,0.00001,0,0,0
Toluca,America,7,0.00008,0.00016,0.00016,0.00011,0.00006,0.00002,0.00001,0,0,0,0
Toluca,America,8,0.00001,0.00003,0.00003,0.00002,0.00001,0,0,0,0,0,0
Toluca,America,9,0,0,0,0,0,0,0,0,0,0,0
Toluca,America,10,0,0,0,0,0,0,0,0,0,0,0
Toluca,Atlas,,0,1,2,3,4,5,6,7,8,9,10
Toluca,Atlas,0,0.07292,0.09838,0.06636,0.02984,0.01007,0.00272,0.00061,0.00012,0.00002,0,0
Toluca,Atlas,1,0.09256,0.12487,0.08423,0.03788,0.01278,0.00345,0.00078,0.00015,0.00003,0,0
Toluca,Atlas,2,0.05874,0.07925,0.05346,0.02404,0.00811,0.00219,0.00049,0.00009,0.00002,0,0
Toluca,Atlas,3,0.02485,0.03353,0.02262,0.01017,0.00343,0.00093,0.00021,0.00004,0.00001,0,0
Toluca,Atlas,4,0.00789,0.01064,0.00718,0.00323,0.00109,0.00029,0.00007,0.00001,0,0,0
Toluca,Atlas,5,0.002,0.0027,0.00182,0.00082,0.00028,0.00007,0.00002,0,0,0,0
Toluca,Atlas,6,0.00042,0.00057,0.00039,0.00017,0.00006,0.00002,0,0,0,0,0
Toluca,Atlas,7,0.00008,0.0001,0.00007,0.00003,0.00001,0,0,0,0,0,0
Toluca,Atlas,8,0.00001,0.00002,0.00001,0,0,0,0,0,0,0,0
Toluca,Atlas,9,0,0,0,0,0,0,0,0,0,0,0
Toluca,Atlas,10,0,0,0,0,0,0,0,0,0,0,0
Toluca,Chiapas,,0,1,2,3,4,5,6,7,8,9,10
Toluca,Chiapas,0,0.16769,0.05555,0.0092,0.00102,0.00008,0.00001,0,0,0,0,0
Toluca,Chiapas,1,0.24389,0.08079,0.01338,0.00148,0.00012,0.00001,0,0,0,0,0
Toluca,Chiapas,2,0.17735,0.05875,0.00973,0.00107,0.00009,0.00001,0,0,0,0,0
Toluca,Chiapas,3,0.08598,0.02848,0.00472,0.00052,0.00004,0,0,0,0,0,0
Toluca,Chiapas,4,0.03126,0.01036,0.00172,0.00019,0.00002,0,0,0,0,0,0
Toluca,Chiapas,5,0.00909,0.00301,0.0005,0.00006,0,0,0,0,0,0,0
Toluca,Chiapas,6,0.0022,0.00073,0.00012,0.00001,0,0,0,0,0,0,0
Toluca,Chiapas,7,0.00046,0.00015,0.00003,0,0,0,0,0,0,0,0
Toluca,Chiapas,8,0.00008,0.00003,0,0,0,0,0,0,0,0,0
Toluca,Chiapas,9,0.00001,0,0,0,0,0,0,0,0,0,0
Toluca,Chiapas,10,0,0,0,0,0,0,0,0,0,0,0
Toluca,Cruz Azul,,0,1,2,3,4,5,6,7,8,9,10
Toluca,Cruz Azul,0,0.04978,0.06159,0.0381,0.01571,0.00486,0.0012,0.00025,0.00004,0.00001,0,0
Toluca,Cruz Azul,1,0.08775,0.10858,0.06717,0.0277,0.00857,0.00212,0.00044,0.00008,0.00001,0,0
Toluca,Cruz Azul,2,0.07735,0.0957,0.05921,0.02442,0.00755,0.00187,0.00039,0.00007,0.00001,0,0
Toluca,Cruz Azul,3,0.04545,0.05624,0.03479,0.01435,0.00444,0.0011,0.00023,0.00004,0.00001,0,0
Toluca,Cruz Azul,4,0.02003,0.02479,0.01533,0.00632,0.00196,0.00048,0.0001,0.00002,0,0,0
Toluca,Cruz Azul,5,0.00706,0.00874,0.00541,0.00223,0.00069,0.00017,0.00004,0.00001,0,0,0
Toluca,Cruz Azul,6,0.00208,0.00257,0.00159,0.00066,0.0002,0.00005,0.00001,0,0,0,0
Toluca,Cruz Azul,7,0.00052,0.00065,0.0004,0.00016,0.00005,0.00001,0,0,0,0,0
Toluca,Cruz Azul,8,0.00012,0.00014,0.00009,0.00004,0.00001,0,0,0,0,0,0
Toluca,Cruz Azul,9,0.00002,0.00003,0.00002,0.00001,0,0,0,0,0,0,0
Toluca,Cruz Azul,10,0,0,0,0,0,0,0,0,0,0,0
Toluca,Dorados,,0,1,2,3,4,5,6,7,8,9,10
Toluca,Dorados,0,0.07524,0.05317,0.01879,0.00443,0.00078,0.00011,0.00001,0,0,0,0
Toluca,Dorados,1,0.14148,0.09998,0.03533,0.00832,0.00147,0.00021,0.00002,0,0,0,0
Toluca,Dorados,2,0.13302,0.094,0.03321,0.00782,0.00138,0.0002,0.00002,0,0,0,0
Toluca,Dorados,3,0.08338,0.05892,0.02082,0.0049,0.00087,0.00012,0.00001,0,0,0,0
