Nombre,numero,posicion,edad,fecha_de_nacimiento,altura_m,peso_kg,Partidos_Iniciados,Substituto,Goles,Disparos,Disparos_al_arco,Faltas,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas
francisco-gamboa,2,Defensa,31,21/07/89,1.74,75,16,0,0,12,3,0,7,6,1,0
fausto-pinto-manuel,3,Defensa,34,09/05/86,1.82,75,15,1,0,10,3,0,18,24,2,1
paulo-da-silva,4,Defensa,36,02/02/84,1.8,87,15,1,0,5,0,1,23,10,5,0
wilson-tiago,5,Medio,32,11/08/88,1.82,74,14,1,1,11,1,4,25,22,7,0
carlos-gerardo-rodriguez,6,Defensa,28,06/02/92,1.72,70,14,1,1,14,2,3,22,17,3,0
pablo-velazquez,7,Delantero,27,20/10/93,1.7,68,11,3,4,19,5,3,20,24,2,0
aaron-galindo,8,Defensa,28,04/08/92,NA,NA,10,5,7,39,17,1,9,6,0,0
juan-carlos-cacho,9,Delantero,19,26/11/01,NA,NA,10,2,1,23,9,3,14,16,2,0
antonio-naelson,10,Medio,40,24/05/80,1.63,68,8,3,4,26,13,1,23,24,3,0
carlos-esquivel,11,Delantero,34,11/04/86,1.7,64,7,0,0,1,1,0,9,8,0,1
hector-acosta,13,Defensa,20,31/01/00,NA,NA,6,4,0,12,6,0,2,17,2,0
antonio-rios,15,Medio,28,25/10/92,1.73,68,4,3,0,4,1,0,18,4,2,0
oscar-rojas,16,Medio,31,17/04/89,NA,NA,4,1,0,0,0,0,14,1,3,0
arturo-tapia,17,Delantero,20,15/01/00,NA,NA,3,9,0,6,2,0,9,14,1,0
xavier-baez,18,Medio,29,27/12/90,1.68,67,3,0,0,3,0,0,5,4,0,0
edy-brambila,19,Delantero,30,16/01/90,NA,NA,1,3,1,7,2,0,1,2,0,0
gabriel-velasco,21,Medio,27,01/01/93,1.82,78,0,2,0,1,0,0,1,0,0,0
edgar-benitez,23,Delantero,24,28/11/96,NA,NA,0,3,0,0,0,0,2,1,0,0
richard-ortiz,24,Medio,31,18/01/89,1.77,72,0,4,0,1,0,0,0,3,0,0
daniel-gonzalez,25,Delantero,32,02/08/88,NA,NA,0,2,0,1,1,0,1,0,0,0
